iter	Passed	Remaining
0	17	3408
1	34	3398
2	52	3476
3	69	3395
4	87	3396
5	102	3313
6	120	3322
7	136	3264
8	151	3220
9	167	3186
10	182	3136
11	198	3113
12	215	3101
13	233	3096
14	250	3088
15	267	3078
16	287	3097
17	303	3072
18	321	3058
19	339	3056
20	355	3030
21	372	3012
22	389	2995
23	406	2983
24	422	2960
25	440	2947
26	460	2950
27	476	2926
28	494	2918
29	515	2921
30	531	2899
31	548	2879
32	565	2864
33	582	2845
34	600	2832
35	621	2831
36	639	2815
37	657	2803
38	675	2789
39	692	2771
40	710	2757
41	730	2746
42	744	2717
43	760	2694
44	778	2682
45	795	2663
46	811	2642
47	828	2622
48	844	2601
49	859	2577
50	878	2567
51	896	2550
52	912	2531
53	928	2509
54	936	2468
55	951	2447
56	967	2427
57	985	2413
58	1003	2397
59	1019	2379
60	1039	2369
61	1055	2349
62	1073	2335
63	1090	2316
64	1107	2300
65	1125	2285
66	1134	2252
67	1151	2235
68	1169	2220
69	1187	2205
70	1204	2188
71	1210	2151
72	1226	2133
73	1244	2119
74	1264	2107
75	1279	2088
76	1296	2070
77	1312	2053
78	1332	2040
79	1349	2024
80	1367	2009
81	1384	1992
82	1400	1973
83	1417	1957
84	1434	1940
85	1452	1925
86	1470	1909
87	1487	1892
88	1507	1879
89	1525	1864
90	1543	1848
91	1561	1833
92	1580	1818
93	1598	1803
94	1616	1786
95	1634	1770
96	1651	1753
97	1669	1737
98	1686	1720
99	1703	1703
100	1720	1686
101	1738	1669
102	1755	1652
103	1774	1638
104	1795	1624
105	1813	1608
106	1831	1591
107	1849	1575
108	1867	1559
109	1884	1541
110	1901	1524
111	1918	1507
112	1936	1490
113	1954	1474
114	1973	1458
115	1992	1442
116	2015	1429
117	2035	1414
118	2055	1399
119	2074	1383
120	2096	1368
121	2114	1352
122	2134	1336
123	2152	1319
124	2171	1302
125	2191	1286
126	2210	1270
127	2230	1254
128	2248	1237
129	2267	1220
130	2286	1204
131	2307	1188
132	2325	1171
133	2346	1155
134	2365	1138
135	2383	1121
136	2403	1105
137	2426	1090
138	2446	1073
139	2502	1072
140	2545	1065
141	2601	1062
142	2649	1056
143	2716	1056
144	2790	1058
145	2824	1044
146	2855	1029
147	2891	1015
148	2926	1001
149	2955	985
150	3024	981
151	3053	964
152	3072	943
153	3133	935
154	3167	919
155	3215	906
156	3254	891
