ID гранта,Сумма гранта,Сфера интересов,Критерии,Дедлайн,Тип
G-1,680487,Искусственный интеллект,Опыт > 2 лет,2024-12-09,Рост
G-2,244053,Медицина,Опыт > 2 лет,2024-11-24,Сид
G-3,629176,Финтех,Опыт > 2 лет,2024-01-03,Рост
G-4,253962,Возобновляемая энергия,Опыт > 2 лет,2024-09-07,Социальный эффект
G-5,241148,Финтех,Сид стадия,2024-01-25,Рост
G-6,742052,Финтех,Сид стадия,2024-05-05,Рост
G-7,810581,Сельское хозяйство,Опыт > 2 лет,2024-02-13,Сид
G-8,386417,Сельское хозяйство,Сид стадия,2024-01-24,Социальный эффект
G-9,572275,Искусственный интеллект,Выручка > $1M,2024-02-18,R&D
G-10,879693,Возобновляемая энергия,Сид стадия,2024-10-07,Сид
G-11,58050,Медицина,Сид стадия,2024-02-28,Рост
G-12,918573,Искусственный интеллект,Выручка > $1M,2024-05-15,R&D
G-13,180555,Сельское хозяйство,Сид стадия,2024-04-22,R&D
G-14,745911,Искусственный интеллект,Только США,2024-09-24,Рост
G-15,181339,Финтех,Выручка > $1M,2024-05-21,Рост
G-16,727870,Сельское хозяйство,Опыт > 2 лет,2024-04-27,Сид
G-17,854151,Сельское хозяйство,Выручка > $1M,2024-05-03,Рост
G-18,967492,Возобновляемая энергия,Сид стадия,2024-04-21,Социальный эффект
G-19,424850,Финтех,Только США,2024-05-05,Рост
G-20,791177,Возобновляемая энергия,Сид стадия,2024-12-19,Социальный эффект
G-21,951435,Возобновляемая энергия,Выручка > $1M,2024-06-08,Рост
G-22,544277,Финтех,Опыт > 2 лет,2024-01-28,Сид
G-23,170265,Медицина,Выручка > $1M,2024-10-03,Социальный эффект
G-24,410156,Возобновляемая энергия,Выручка > $1M,2024-09-09,Сид
G-25,723328,Искусственный интеллект,Сид стадия,2024-11-11,Сид
G-26,317757,Финтех,Только США,2024-08-01,R&D
G-27,534902,Медицина,Опыт > 2 лет,2024-11-10,Рост
G-28,170263,Сельское хозяйство,Только США,2024-09-25,Сид
G-29,638038,Сельское хозяйство,Выручка > $1M,2024-01-04,R&D
G-30,931406,Сельское хозяйство,Только США,2024-01-08,Сид
G-31,99814,Финтех,Опыт > 2 лет,2024-09-25,Рост
G-32,144628,Финтех,Только США,2024-05-17,Социальный эффект
G-33,232086,Возобновляемая энергия,Только США,2024-12-10,Социальный эффект
G-34,714314,Сельское хозяйство,Выручка > $1M,2024-09-15,Сид
G-35,269947,Медицина,Опыт > 2 лет,2024-06-01,Рост
G-36,627024,Медицина,Опыт > 2 лет,2024-02-23,Сид
G-37,250062,Искусственный интеллект,Опыт > 2 лет,2024-06-03,Рост
G-38,302004,Финтех,Только США,2024-09-05,Социальный эффект
G-39,264801,Финтех,Выручка > $1M,2024-04-04,Сид
G-40,700993,Финтех,Сид стадия,2024-07-14,Социальный эффект
G-41,915798,Искусственный интеллект,Опыт > 2 лет,2024-01-13,R&D
G-42,849482,Искусственный интеллект,Только США,2024-04-07,Социальный эффект
G-43,156991,Финтех,Только США,2024-05-15,Рост
G-44,926964,Искусственный интеллект,Выручка > $1M,2024-09-04,Сид
G-45,693823,Возобновляемая энергия,Опыт > 2 лет,2024-02-25,Рост
G-46,184389,Финтех,Выручка > $1M,2024-08-07,Социальный эффект
G-47,956279,Искусственный интеллект,Только США,2024-07-01,Социальный эффект
G-48,288085,Финтех,Сид стадия,2024-07-23,Социальный эффект
G-49,172316,Медицина,Сид стадия,2024-04-02,Сид
G-50,794309,Сельское хозяйство,Опыт > 2 лет,2024-01-19,Социальный эффект
