ID стартапа,Стадия,Индустрия,Выручка,Необходимое финансирование,Локация,Опыт работы,Размер команды,Инновационный фокус
S-1,Сид,Искусственный интеллект,8519948,94002,Европа,1,153,На базе ИИ
S-2,Сид,Финтех,2011363,997335,Южная Америка,3,149,На базе ИИ
S-3,Идея,Финтех,9792396,602683,Южная Америка,5,67,Устойчивое развитие
S-4,Рост,Медицина,4456272,425011,Европа,10,166,На блокчейне
S-5,Масштабирование,Сельское хозяйство,1217071,19767,Африка,9,145,На базе ИИ
S-6,Идея,Возобновляемая энергия,3576135,540458,Азия,2,90,На базе ИИ
S-7,Сид,Сельское хозяйство,4781295,175409,Африка,8,181,На блокчейне
S-8,Идея,Возобновляемая энергия,5022741,987017,США,2,68,На базе ИИ
S-9,Идея,Возобновляемая энергия,2607983,295577,Азия,9,54,На блокчейне
S-10,Сид,Сельское хозяйство,8479356,522262,Азия,0,24,С IoT
S-11,Рост,Искусственный интеллект,59486,359759,Европа,10,68,Устойчивое развитие
S-12,Масштабирование,Возобновляемая энергия,7175395,598153,США,1,20,Устойчивое развитие
S-13,Идея,Сельское хозяйство,9772888,589364,Европа,6,33,На базе ИИ
S-14,Рост,Сельское хозяйство,669324,952590,Азия,3,175,Устойчивое развитие
S-15,Идея,Сельское хозяйство,9393286,937082,Африка,9,192,Устойчивое развитие
S-16,Сид,Медицина,2970445,934231,Африка,0,46,На блокчейне
S-17,Масштабирование,Медицина,4476257,176931,США,6,10,С IoT
S-18,Сид,Медицина,7722606,376643,Азия,3,58,На базе ИИ
S-19,Сид,Финтех,5507321,302136,США,4,90,С IoT
S-20,Рост,Искусственный интеллект,1935113,929641,Азия,2,149,На блокчейне
S-21,Идея,Искусственный интеллект,7290770,372479,Азия,6,156,На базе ИИ
S-22,Масштабирование,Возобновляемая энергия,3188992,277095,США,6,1,Устойчивое развитие
S-23,Рост,Финтех,1173965,706503,Азия,9,81,На базе ИИ
S-24,Рост,Возобновляемая энергия,5188935,709287,Африка,5,104,На блокчейне
S-25,Сид,Медицина,7053918,707229,Африка,10,192,Устойчивое развитие
S-26,Рост,Финтех,9192860,884224,США,4,74,Устойчивое развитие
S-27,Масштабирование,Возобновляемая энергия,5406444,497575,Африка,7,173,Устойчивое развитие
S-28,Масштабирование,Медицина,1422633,307571,Южная Америка,10,163,На блокчейне
S-29,Идея,Медицина,5207974,245552,Европа,2,7,На базе ИИ
S-30,Сид,Финтех,1221854,487538,Африка,10,148,Устойчивое развитие
S-31,Масштабирование,Финтех,6705062,265836,Европа,10,177,На базе ИИ
S-32,Идея,Финтех,3671545,194430,Южная Америка,7,13,Устойчивое развитие
S-33,Идея,Финтех,2237058,850346,Африка,10,136,На блокчейне
S-34,Масштабирование,Возобновляемая энергия,8468772,457470,Южная Америка,7,41,С IoT
S-35,Масштабирование,Сельское хозяйство,4147994,890660,Азия,8,125,Устойчивое развитие
S-36,Рост,Финтех,1299954,758206,Азия,3,70,На блокчейне
S-37,Рост,Возобновляемая энергия,1351868,155095,Европа,3,99,Устойчивое развитие
S-38,Сид,Искусственный интеллект,6960328,437398,Азия,8,120,С IoT
S-39,Идея,Медицина,7048838,418396,Южная Америка,0,196,С IoT
S-40,Масштабирование,Искусственный интеллект,5901533,323118,Африка,6,138,Устойчивое развитие
S-41,Масштабирование,Медицина,4579094,467007,Африка,0,100,На блокчейне
S-42,Масштабирование,Медицина,7841505,974209,Европа,9,137,На базе ИИ
S-43,Масштабирование,Возобновляемая энергия,9468926,705205,США,1,165,С IoT
S-44,Сид,Финтех,3048907,62727,Азия,6,84,Устойчивое развитие
S-45,Масштабирование,Сельское хозяйство,5662319,808207,Африка,4,193,С IoT
S-46,Рост,Искусственный интеллект,7890439,30324,Южная Америка,0,90,Устойчивое развитие
S-47,Идея,Искусственный интеллект,520596,269295,Европа,0,160,Устойчивое развитие
S-48,Сид,Медицина,7945036,711978,США,9,56,С IoT
S-49,Рост,Сельское хозяйство,2815034,645324,Южная Америка,1,200,Устойчивое развитие
S-50,Рост,Искусственный интеллект,9708718,36925,Азия,9,174,С IoT
S-51,Масштабирование,Медицина,1275009,630859,Европа,1,179,На блокчейне
S-52,Идея,Возобновляемая энергия,689025,374069,Южная Америка,6,170,На блокчейне
S-53,Идея,Возобновляемая энергия,5724909,23266,Африка,7,28,С IoT
S-54,Рост,Финтех,2566765,466641,Европа,8,167,На блокчейне
S-55,Масштабирование,Финтех,7307727,875845,Южная Америка,4,83,Устойчивое развитие
S-56,Идея,Сельское хозяйство,7563202,265709,Африка,9,157,С IoT
S-57,Рост,Искусственный интеллект,8293086,902288,Азия,2,125,Устойчивое развитие
S-58,Рост,Сельское хозяйство,5709938,303243,Южная Америка,4,143,На базе ИИ
S-59,Сид,Искусственный интеллект,4049282,765053,Африка,7,143,Устойчивое развитие
S-60,Масштабирование,Финтех,7519121,841450,США,1,76,Устойчивое развитие
S-61,Масштабирование,Медицина,5137284,706212,Южная Америка,5,122,На блокчейне
S-62,Масштабирование,Возобновляемая энергия,5549757,378900,Африка,4,79,На блокчейне
S-63,Сид,Искусственный интеллект,3231028,340876,США,8,196,Устойчивое развитие
S-64,Сид,Медицина,8123504,299930,Южная Америка,8,153,На блокчейне
S-65,Идея,Медицина,4970190,248533,Азия,2,78,На базе ИИ
S-66,Сид,Сельское хозяйство,763626,67174,Южная Америка,4,179,Устойчивое развитие
S-67,Масштабирование,Искусственный интеллект,205779,611949,Азия,7,123,С IoT
S-68,Рост,Медицина,861958,274742,Африка,1,17,С IoT
S-69,Масштабирование,Искусственный интеллект,9680808,670021,США,2,39,На блокчейне
S-70,Идея,Медицина,1987287,595181,Африка,9,153,Устойчивое развитие
S-71,Масштабирование,Финтех,7427625,321797,Южная Америка,6,79,На базе ИИ
